"maszyna","asm_id","zespol","par_id","ilosc","name","biblioteka"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id13",1,"004D_01.00.00.000_Belka","004D_01.00.00.000_Belka"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id3094",1,"004D_03.00.00.000_Supot","004D_03.00.00.000_Supot"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id10250",1,"004D_00.00.00.002_pas_zebaty_AT10x16_1280Z_L12800_PAZ_bez_pokrycia","004D_00.00.00.002_pas_zebaty_AT10x16_1280Z_L12800_PAZ_bez_pokrycia"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id10293",1,"Nakretka_A32-85","Nakretka_A32-85"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id10299",1,"004D_02.01.00.000_Podpora","004D_02.01.00.000_Podpora"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id14112",1,"Motoreduktor_NMRV_050-5_PAM80_B14_1,1_kW_CHT_80_C4_B14_IE1","Motoreduktor_NMRV_050-5_PAM80_B14_1,1_kW_CHT_80_C4_B14_IE1"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id14115",1,"Nakretka_A32-85","Nakretka_A32-85"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id14121",1,"004D_02.03.00.000_Belka_lacznikowa","004D_02.03.00.000_Belka_lacznikowa"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id14293",1,"004D_02.01.00.000_Podpora","004D_02.01.00.000_Podpora"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id14781",1,"004D_00.00.00.001_Kolo_31_AT10_40_6F_do_pasa_zebatego_16mm","004D_00.00.00.001_Kolo_31_AT10_40_6F_do_pasa_zebatego_16mm"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id14784",1,"DIN_125_M8_Zn_HV200","DIN_125_M8_Zn_HV200"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id14854",1,"004D_00.00.00.009_Blacha","004D_00.00.00.009_Blacha"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id14860",1,"004D_06.00.00.000_Kostka","004D_06.00.00.000_Kostka"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id14960",1,"004D_05.00.00.000_Mocowanie_motoreduktora","004D_05.00.00.000_Mocowanie_motoreduktora"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id15284",1,"004D_01.05.00.000_Rolka","004D_01.05.00.000_Rolka"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id15412",1,"004D_01.05.00.000_Rolka","004D_01.05.00.000_Rolka"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id15420",1,"004D_01.05.00.000_Rolka","004D_01.05.00.000_Rolka"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id15428",1,"004D_01.05.00.000_Rolka","004D_01.05.00.000_Rolka"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id15436",1,"004D_01.05.00.000_Rolka","004D_01.05.00.000_Rolka"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id15444",1,"004D_01.05.00.000_Rolka","004D_01.05.00.000_Rolka"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id15452",1,"004D_01.05.00.000_Rolka","004D_01.05.00.000_Rolka"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id15463",1,"004D_04.00.00.000_Napinacz","004D_04.00.00.000_Napinacz"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id16320",1,"004D_02.02.00.000S_Podpora_srodkowa","004D_02.02.00.000S_Podpora_srodkowa"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id16689",1,"Nakretka_A32-85","Nakretka_A32-85"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id16692",1,"Nakretka_A32-85","Nakretka_A32-85"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id16695",1,"Nakretka_A32-85","Nakretka_A32-85"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id16698",1,"Nakretka_A32-85","Nakretka_A32-85"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id16701",1,"DIN_912_M8x20_Zn_KL8.8","DIN_912_M8x20_Zn_KL8.8"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id16704",1,"DIN_127_M8_Zn_HV200","DIN_127_M8_Zn_HV200"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id16707",1,"DIN_125_M8_Zn_HV200","DIN_125_M8_Zn_HV200"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id16710",1,"DIN_912_M8x20_Zn_KL8.8","DIN_912_M8x20_Zn_KL8.8"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id16713",1,"DIN_127_M8_Zn_HV200","DIN_127_M8_Zn_HV200"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id16716",1,"DIN_125_M8_Zn_HV200","DIN_125_M8_Zn_HV200"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id16719",1,"DIN_912_M8x20_Zn_KL8.8","DIN_912_M8x20_Zn_KL8.8"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id16722",1,"DIN_127_M8_Zn_HV200","DIN_127_M8_Zn_HV200"
"004D","id5","004D_00.00.00.000_Manipulator_do_skladania_kanapek_id5","id16725",1,"DIN_125_M8_Zn_HV200","DIN_125_M8_Zn_HV200"
