,machine,name,is_asm
0,004D,Szyna_profilowa_HGR20R5300H,0
1,004D,Podkladka_Schnorr_S5_Zn,0
2,004D,Nakretka_A32-55,0
3,004D,DIN_912_M5x20_Zn_KL12.9,0
4,004D,Wkladka_gwintowa_AN343_M12_M16x1.5,0
5,004D,Profil_aluminiowy_Kanya_100x200_MA1-9_oa_0,0
6,004D,Podkladka_Schnorr_S8_Zn,0
7,004D,Wozek_liniowy_HGH20CAZ0H_(bez_gniazd_smarowych),0
8,004D,004D_03.00.00.003_Plytka_mocujaca_16AT10_typ_B_41x80,0
9,004D,"Festo_9261 SGS-M10x1,25---(S_0_0_0)",0
10,004D,DIN-439-B - M10x1_25(F),0
11,004D,004D_03.00.00.001_Plyta,0
12,004D,1463250 DSBC-32-200-PPVA_(Z_0),0
13,004D,1463250 DSBC-32-200_(K),0
15,004D,Zawor_dlawiaco-zwrotny_GRLA-1_8-QS-6-D,0
16,004D,004D_03.00.00.002_Mocowanie_plytki,0
17,004D,DIN_912_M8x25_Zn_KL8.8,0
18,004D,Uchwyt_przewodu_4mm_14.42.341,0
19,004D,004D_03.00.00.006_Kostka_smarowania_1,0
20,004D,Wspornik_33890 LNG-32,0
21,004D,174390 SNCB-32---(SF_00),0
22,004D,DIN-912 - M6x20(F),0
23,004D,"369041 BZ-10-046,0-AA (55)",0
24,004D,210029 10 SXN 08 VERZINKT_SL,0
25,004D,DIN_912_M8x20_Zn_KL8.8,0
26,004D,DIN_912_M4x8_Zn_KL8.8,0
27,004D,DIN_912_M5x25_Zn_KL8.8,0
28,004D,Zlaczka_wtykowa_GEK-4-M6x1,0
29,004D,Profil_aluminiowy_Kanya_50x50_A01-1_oa_1,0
30,004D,DIN_125_M6_Zn_HV200,0
31,004D,Chwytak_igłowy_SNG-V_10_1.2_V-7,0
32,004D,004D_03.01.00.003_Blacha,0
33,004D,Profil_aluminiowy_Kanya_50x50_A01-1_oa_2,0
34,004D,004D_03.01.00.001_Redukcja,0
35,004D,Profil_aluminiowy_Kanya_50x50_A01-1_oa_3,0
36,004D,Profil_aluminiowy_Kanya_50x50_A01-1_oa_4,0
37,004D,Szyna_profilowa_HGR20R450H,0
38,004D,DIN_7991_M4x14_Zn_KL8.8,0
39,004D,DIN_912_M6x30_Zn_KL8.8,0
40,004D,DIN_127_M6_Zn_HV200,0
41,004D,Nakretka_A32-65,0
42,004D,DIN_912_M6x20_Zn_KL8.8,0
43,004D,Listwa_mocujaca_A34-01,0
44,004D,Podkladka_Schnorr_S6_Zn,0
45,004D,004D_03.01.00.002_Katownik,0
46,004D,31761 LBG-32---(L),0
47,004D,"373493 BO- 10-026,5-DA",0
49,004D,Zaslepka_50x50_A40-10,0
50,004D,DIN_912_M6x25_Zn_KL8.8,0
51,004D,004D_03.00.00.005_Walek,0
52,004D,004D_03.00.00.004_Mocowanie_silownika,0
53,004D,Przewod_smarowania_4mm_1,0
54,004D,Przewod_smarowania_4mm_2,0
55,004D,DIN_71412_A_M6_Zn,0
56,004D,DIN_912_M5x16_Zn_KL8.8,0
57,004D,004D_03.00.00.007_Kostka_smarowania_2,0
58,004D,Zlaczka_wtykowe_8_12_0128,0
59,004D,Elektrozawor_70_SOV_25_SOS_OO_G1_8__5_2_monostabilny_ piloty_wewnetrzne,0
60,004D,Cewka_22_D8_2W-24VDC,0
61,004D,Gniazdo_22_LED_VDR_24V,0
62,004D,Tlumik_MWSFE_1_8’’,0
63,004D,Zlaczka_katowa_R34_GZ_G1_8-8,0
64,004D,Zlaczka_katowa_R34_GZ_G1_8-6,0
65,004D,Wibroizolator_DVB.6-25-17-M6-8-40,0
66,004D,DIN_21346_M8x35_Zn_KL8.8,0
67,004D,DIN_439_M8_Zn,0
68,004D,Przewod_smarowania_4mm_3,0
69,004D,Przewod_smarowania_4mm_4,0
70,004D,Przewod_smarowania_4mm_5,0
71,004D,004D_03.00.00.008_Blacha,0
72,004D,Przewod_smarowania_4mm_6,0
73,004D,Czujnik_polozenia_W095411,0
74,004D,Elektrozawor_70_SOV_36_SOS_CC_G1_4__5_3_monostabilny_piloty_wewnetrzne,0
75,004D,Zlaczka_katowa_R34_GZ_G1_4-8,0
76,004D,Tlumik_MWSFE_1_4’’,0
77,004D,004D_00.00.00.002_pas_zebaty_AT10x16_1280Z_L12800_PAZ_bez_pokrycia,0
78,004D,Nakretka_A32-85,0
79,004D,004D_02.01.00.003_Blacha_oa_5,0
80,004D,004D_02.01.00.002_Blacha,0
81,004D,Profil_100x50x3_S235JR_oa_6,0
82,004D,Profil_100x50x3_S235JR_oa_7,0
83,004D,Profil_100x50x3_S235JR_oa_8,0
84,004D,Profil_100x50x3_S235JR_oa_9,0
85,004D,Profil_100x50x3_S235JR_oa_10,0
86,004D,004D_02.01.00.001_Blacha,0
87,004D,004D_02.01.00.007_Blacha,0
88,004D,004D_02.01.00.003_Blacha_oa_11,0
89,004D,004D_02.01.00.006_Blacha,0
90,004D,004D_02.01.00.008_Blacha,0
91,004D,DIN_125_M10_Zn_HV200,0
92,004D,DIN_125_M8_Zn_HV200,0
