"maszyna","asm_id","zespol","par_id","ilosc","name","biblioteka"
"010M","id5","010M_00.00.00.000_Chwytak_panelu_id5","id13",1,"Fuutonlab_Chwytak_panelu","Fuutonlab_Chwytak_panelu"
"010M","id5","010M_00.00.00.000_Chwytak_panelu_id5","id2841",1,"010M_01.00.00.000_Zespol_ruchu_K92","010M_01.00.00.000_Zespol_ruchu_K92"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id236",1,"AR 3706 - 100","AR 3706 - 100"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id239",1,"AR 3706 - 100","AR 3706 - 100"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id462",1,"AR 3706 - 570","AR 3706 - 570"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id465",1,"AR 3706 - 570","AR 3706 - 570"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id568",1,"Płyta montażowa","Płyta montażowa"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id571",1,"AR 3706 - 570","AR 3706 - 570"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id574",1,"AR 3706 - 570","AR 3706 - 570"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id966",1,"AR3801","AR3801"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id1034",1,"AR3802","AR3802"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id1037",1,"AR3801","AR3801"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id1062",1,"Screw_DIN_912_M6x16","Screw_DIN_912_M6x16"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id1065",1,"AR3801","AR3801"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id1096",1,"15 03 10","15 03 10"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id1099",1,"AR3801","AR3801"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id1102",1,"AR3801","AR3801"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id1105",1,"AR3801","AR3801"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id1108",1,"AR3801","AR3801"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id1111",1,"AR3801","AR3801"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id1117",1,"KOMPENSATOR","KOMPENSATOR"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id1922",1,"dp-101-e-p_0","dp-101-e-p_0"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id1978",1,"Mocowanie czujnika","Mocowanie czujnika"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2002",1,"SSX1-2","SSX1-2"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2030",1,"Mocowanie eżektora","Mocowanie eżektora"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2104",1,"AR3713","AR3713"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2107",1,"AR3713","AR3713"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2110",1,"AR3713","AR3713"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2113",1,"AR3713","AR3713"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2116",1,"KOMPENSATOR","KOMPENSATOR"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2145",1,"KOMPENSATOR","KOMPENSATOR"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2174",1,"AR3802","AR3802"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2177",1,"AR3802","AR3802"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2180",1,"AR3802","AR3802"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2183",1,"AR3802","AR3802"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2186",1,"AR3802","AR3802"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2189",1,"AR3802","AR3802"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2192",1,"AR3802","AR3802"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2217",1,"Screw_DIN_7991_M8x20","Screw_DIN_7991_M8x20"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2220",1,"Screw_DIN_7991_M8x20","Screw_DIN_7991_M8x20"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2223",1,"Screw_DIN_7991_M8x20","Screw_DIN_7991_M8x20"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2226",1,"Screw_DIN_7991_M8x20","Screw_DIN_7991_M8x20"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2229",1,"Screw_DIN_7991_M8x20","Screw_DIN_7991_M8x20"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2232",1,"Screw_DIN_7991_M8x20","Screw_DIN_7991_M8x20"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2235",1,"Screw_DIN_7991_M8x20","Screw_DIN_7991_M8x20"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2238",1,"Screw_DIN_7991_M8x20","Screw_DIN_7991_M8x20"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2241",1,"Screw_DIN_7991_M8x20","Screw_DIN_7991_M8x20"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2244",1,"Screw_DIN_7991_M8x20","Screw_DIN_7991_M8x20"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2247",1,"Screw_DIN_7991_M8x20","Screw_DIN_7991_M8x20"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2250",1,"Screw_DIN_7991_M8x20","Screw_DIN_7991_M8x20"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2253",1,"Mocowanie czujnika","Mocowanie czujnika"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2256",1,"dp-101-e-p_0","dp-101-e-p_0"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2259",1,"KOMPENSATOR","KOMPENSATOR"
"010M","id13","Fuutonlab_Chwytak_panelu_id13","id2288",1,"KOMPENSATOR","KOMPENSATOR"
