,machine,name,is_asm
0,010M,AR 3706 - 100,0
1,010M,AR 3706 - 570,0
2,010M,Płyta montażowa,0
3,010M,AR3801,0
4,010M,AR3802,0
5,010M,Screw_DIN_912_M6x16,0
6,010M,15 03 10,0
7,010M,FL12092022002 - TULEJA,0
8,010M,FL12092022001 - TRZPIEŃ,0
9,010M,SPRĘŻYNA _1,0
10,010M,JSM_2023_15_1,0
11,010M,SPRĘŻYNA _2,0
12,010M,"M16x1,5-M12x1",0
13,010M,SKF_KM 6,0
14,010M,wkładka 3_8 12x1,0
15,010M,"16x1,5-G3_8",0
16,010M,Washer_DIN_125_1_B_8.4,0
17,010M,Washer_DIN_127_B_8,0
18,010M,Screw_DIN_912_M8x20,0
19,010M,Mocowanie kompensatora,0
20,010M,VTSA135,0
21,010M,S6520 8-3_8,0
22,010M,dp-101-e-p_0,0
23,010M,Mocowanie czujnika,0
24,010M,SSX1-2,0
25,010M,Mocowanie eżektora,0
26,010M,AR3713,0
27,010M,Screw_DIN_7991_M8x20,0
28,010M,S6520 6-1_4,0
29,010M,S6430 8-3_8,0
30,010M,Screw_DIN_912_M5x40,0
31,010M,6512 4-M5,0
32,010M,Nut_DIN_934_1987_M5,0
33,010M,Screw_DIN_912_M3x6,0
34,010M,Screw_DIN_912_M6x12,0
35,010M,K92_stanowisko_plyty,0
36,010M,1463250 DSBC-32-160-PPVA_(Z_0),0
37,010M,1463250 DSBC-32-160_(K),0
38,010M,DIN-439-B - M10x1_25(F),0
39,010M,010M_01.02.00.001_Walek_prowadzacy_fi20_h7_chromowany,0
40,010M,Wspornik_koncowy_walu_SK20,0
41,010M,DIN_933_M8x20_Zn_KL8.8,0
42,010M,DIN_127_M8_Zn_HV200,0
43,010M,DIN_125_M8_Zn_HV200,0
44,010M,DIN_125_M6_Zn_HV200,0
45,010M,010M_01.02.00.002_Plyta_glowna_prowadzenia,0
46,010M,010M_01.02.01.001_Kostka,0
47,010M,Podkladka_Schnorr_S6_Zn,0
48,010M,DIN_7_8x10_m6_--_60HRC,0
49,010M,DIN_912_M8x30_Zn_KL8.8,0
50,010M,DIN_912_M6x25_Zn_KL8.8,0
51,010M,Podkladka_Schnorr_S8_Zn,0
52,010M,DIN_127_M6_Zn_HV200,0
53,010M,DIN_912_M6x30_Zn_KL8.8,0
54,010M,010M_01.01.00.001_Plyta_glowna,0
55,010M,010M_01.01.01.001_Oprawa,0
56,010M,Podkladka_Schnorr_S5_Zn,0
57,010M,DIN_912_M5x20_Zn_KL8.8,0
58,010M,Lozysko_liniowe_LMK20UU,0
59,010M,"Wkladka_gwintowa_M8xM12x1,5_71571.080.012",0
60,010M,008M_00.00.00.006_Tuleja_centrujaca,0
61,010M,010M_01.01.02.001_Korpus,0
62,010M,010M_01.01.02.002_Walek,0
63,010M,010M_01.01.02.003_Podkladka_posrednia,0
64,010M,010M_01.01.02.004_Blacha,0
65,010M,DIN_912_M6x12_Zn_KL8.8,0
66,010M,ISO_7379-10-M8-25,0
67,010M,Zawor_dlawiaco-zwrotny_GRLA-1_8-QS-6-D,0
68,010M,Elektrozawor_70_SOV_25_SOS_OO_G1_8__5_2_monostabilny_ piloty_wewnetrzne,0
69,010M,Cewka_22_D8_2W-24VDC,0
70,010M,Gniazdo_22_LED_VDR_24V,0
71,010M,Tlumik_MWSFE_1_8’’,0
72,010M,Zlaczka_katowa_R34_GZ_G1_8-6,0
73,010M,Zlaczka_prosta_R1_GZ_G1_8-6,0
74,010M,DIN_912_M8x20_Zn_KL8.8,0
75,010M,Wkladka_gwintowana_M8_AR3383,0
76,010M,DIN_934_M8_Zn_KL8,0
77,010M,010M_01.03.00.001_Blacha,0
78,010M,010M_01.03.00.001M_Blacha,0
79,010M,010M_01.03.00.003_Blacha,0
80,010M,010M_01.03.00.002_Profil_100x40x4_S235JR,0
81,010M,010M_01.00.00.001_Blacha,0
82,010M,010M_00.00.00.000_Chwytak_panelu,1
83,010M,Fuutonlab_Chwytak_panelu,1
84,010M,KOMPENSATOR,1
85,010M,010M_01.00.00.000_Zespol_ruchu_K92,1
86,010M,Silownik_DSBC-32-160-PPVA-N3_oa_0,1
87,010M,010M_01.02.00.000_Prowadnica,1
88,010M,010M_01.02.01.000_Kostka_mocowania_silownika_KPL,1
89,010M,010M_01.01.00.000_Wozek,1
90,010M,010M_01.01.01.000_Lozysko_w_obudowie,1
91,010M,010M_01.01.02.000_Sprzeglo,1
92,010M,Elektrozawor_5_2_(010M_01),1
93,010M,010M_01.03.00.000S_Mocowanie_zespolu_chowania,1
