"maszyna","asm_id","zespol","par_id","ilosc","name","biblioteka"
"018I","id5","018I_00.00.00_id5","id13",1,"Model","Model"
"018I","id5","018I_00.00.00_id5","id9078",1,"016P_00.00.00.000_Przenosnik_pasowy","016P_00.00.00.000_Przenosnik_pasowy"
"018I","id5","018I_00.00.00_id5","id21978",1,"Model_1","Model_1"
"018I","id5","018I_00.00.00_id5","id22179",1,"018I_01.03.00.000_Zespol_Napedu_P","018I_01.03.00.000_Zespol_Napedu_P"
"018I","id5","018I_00.00.00_id5","id25975",1,"ADS-UF Zuführgerät komplett","ADS-UF Zuführgerät komplett"
"018I","id5","018I_00.00.00_id5","id41924",1,"018I_01.00.00.000_Portal","018I_01.00.00.000_Portal"
"018I","id5","018I_00.00.00_id5","id60587",1,"ADS-UF Zuführgerät komplett","ADS-UF Zuführgerät komplett"
"018I","id5","018I_00.00.00_id5","id60591",1,"ADS-UF Zuführgerät komplett","ADS-UF Zuführgerät komplett"
"018I","id5","018I_00.00.00_id5","id60595",1,"ADS-UF Zuführgerät komplett","ADS-UF Zuführgerät komplett"
"018I","id5","018I_00.00.00_id5","id60602",1,"018I_02.00.00.000_Rama_Bazowa","018I_02.00.00.000_Rama_Bazowa"
"018I","id5","018I_00.00.00_id5","id103555",1,"Pipes_D","Pipes_D"
"018I","id5","018I_00.00.00_id5","id103708",1,"018I_03.00.00.000_Rama_ADS","018I_03.00.00.000_Rama_ADS"
"018I","id13","Model_id13","id19",1,"PB.01.P1_Przykrecanie blachy","PB.01.P1_Przykrecanie blachy"
"018I","id13","Model_id13","id715",1,"PB.02.P1_Przykrecanie blachy","PB.02.P1_Przykrecanie blachy"
"018I","id13","Model_id13","id1379",1,"PB.03.P1_Przykrecanie blachy","PB.03.P1_Przykrecanie blachy"
"018I","id13","Model_id13","id2013",1,"PB.04.P1_Przykrecanie blachy","PB.04.P1_Przykrecanie blachy"
"018I","id13","Model_id13","id2752",1,"PB.05.P1_Przykrecanie blachy","PB.05.P1_Przykrecanie blachy"
"018I","id13","Model_id13","id3491",1,"VirMod","VirMod"
"018I","id13","Model_id13","id3497",1,"ADS-2069RDK_rechts_Atmo","ADS-2069RDK_rechts_Atmo"
"018I","id13","Model_id13","id9055",1,"ADS-2069RDK_rechts_Atmo","ADS-2069RDK_rechts_Atmo"
"018I","id13","Model_id13","id9060",1,"ADS-2069RDK_rechts_Atmo","ADS-2069RDK_rechts_Atmo"
"018I","id13","Model_id13","id9065",1,"ADS-2069RDK_rechts_Atmo","ADS-2069RDK_rechts_Atmo"
"018I","id13","Model_id13","id9070",1,"ADS-2069RDK_rechts_Atmo","ADS-2069RDK_rechts_Atmo"
"018I","id19","PB.01.P1_Przykrecanie blachy_id19","id25",1,"PB.01.RD1","PB.01.RD1"
"018I","id19","PB.01.P1_Przykrecanie blachy_id19","id227",1,"ISO_15481_ST_3,5x9,5","ISO_15481_ST_3,5x9,5"
"018I","id19","PB.01.P1_Przykrecanie blachy_id19","id230",1,"ISO_15481_ST_3,5x9,5","ISO_15481_ST_3,5x9,5"
"018I","id19","PB.01.P1_Przykrecanie blachy_id19","id233",1,"ISO_15481_ST_3,5x9,5","ISO_15481_ST_3,5x9,5"
"018I","id19","PB.01.P1_Przykrecanie blachy_id19","id236",1,"ISO_15481_ST_3,5x9,5","ISO_15481_ST_3,5x9,5"
"018I","id19","PB.01.P1_Przykrecanie blachy_id19","id239",1,"ISO_15481_ST_3,5x9,5","ISO_15481_ST_3,5x9,5"
"018I","id19","PB.01.P1_Przykrecanie blachy_id19","id242",1,"ISO_15481_ST_3,5x9,5","ISO_15481_ST_3,5x9,5"
"018I","id19","PB.01.P1_Przykrecanie blachy_id19","id245",1,"ISO_15481_ST_3,5x9,5","ISO_15481_ST_3,5x9,5"
"018I","id19","PB.01.P1_Przykrecanie blachy_id19","id248",1,"ISO_15481_ST_3,5x9,5","ISO_15481_ST_3,5x9,5"
"018I","id19","PB.01.P1_Przykrecanie blachy_id19","id251",1,"ISO_15481_ST_3,5x9,5","ISO_15481_ST_3,5x9,5"
"018I","id19","PB.01.P1_Przykrecanie blachy_id19","id378",1,"ISO_15481_ST_3,5x25","ISO_15481_ST_3,5x25"
"018I","id19","PB.01.P1_Przykrecanie blachy_id19","id381",1,"ISO_15481_ST_3,5x25","ISO_15481_ST_3,5x25"
"018I","id19","PB.01.P1_Przykrecanie blachy_id19","id384",1,"ISO_15481_ST_3,5x25","ISO_15481_ST_3,5x25"
"018I","id19","PB.01.P1_Przykrecanie blachy_id19","id387",1,"ISO_15481_ST_3,5x25","ISO_15481_ST_3,5x25"
"018I","id19","PB.01.P1_Przykrecanie blachy_id19","id390",1,"ISO_15481_ST_3,5x25","ISO_15481_ST_3,5x25"
