,machine,name,is_asm
0,018I,PB.01.Z.009,0
1,018I,PB.01.Z.008,0
2,018I,PB.01.RD.003,0
3,018I,PB.01.RD.001,0
4,018I,PB.01.RD.002,0
5,018I,"ISO_15481_ST_3,5x9,5",0
6,018I,"ISO_15481_ST_3,5x25",0
7,018I,BS 4168 - M8 x 35,0
8,018I,PB.01.P.001,0
9,018I,PB.01.P.201,0
10,018I,PB.01.P.002,0
11,018I,PB.01.P.101,0
12,018I,PB.01.Z.009_0,0
13,018I,PB.02.Z.008,0
14,018I,PB.02.RD.003,0
15,018I,PB.02.RD.001,0
16,018I,PB.02.RD.002,0
17,018I,"ISO_15481_ST_3,5x9,5_0",0
18,018I,"ISO_15481_ST_3,5x25_0",0
19,018I,PB.02.P,0
20,018I,PB.02.P.201,0
21,018I,PB.02.P.002,0
22,018I,PB.02.P.101,0
23,018I,PB.03.Z.009,0
24,018I,PB.03.RD.003,0
25,018I,PB.03.RD.005,0
26,018I,PB.03.RD.001,0
27,018I,PB.03.RD.002,0
28,018I,"ISO_15481_ST_3,5x9,5_1",0
29,018I,"ISO_15481_ST_3,5x25_1",0
30,018I,PB.03.P,0
31,018I,PB.03.P.201,0
32,018I,PB.03.P.002,0
33,018I,PB.03.P.101,0
34,018I,PB.01.Z.009_1,0
35,018I,PB.02.Z.008_0,0
36,018I,PB.04.RD.003,0
37,018I,PB.04.RD.001,0
38,018I,PB.04.RD.002,0
39,018I,"ISO_15481_ST_3,5x9,5_2",0
40,018I,"ISO_15481_ST_3,5x25_2",0
41,018I,"DIN 125 - A 10,5_1",0
42,018I,PB.04.P.001,0
43,018I,PB.04.P.201,0
44,018I,PB.04.P.002,0
45,018I,PB.04.P.101,0
46,018I,PB.05.Z.009,0
47,018I,PB.05.RD.003,0
48,018I,PB.05.RD.005,0
49,018I,PB.05.RD.001,0
50,018I,PB.05.RD.002,0
51,018I,"ISO_15481_ST_3,5x9,5_3",0
52,018I,"ISO_15481_ST_3,5x25_3",0
53,018I,"DIN 125 - A 10,5_2",0
54,018I,PB.05.P.001,0
55,018I,PB.05.P.201,0
56,018I,PB.05.P.002,0
57,018I,PB.05.P.101,0
58,018I,VirMod,0
59,018I,ADS-2069RDK_rechts_Atmo,0
60,018I,CHWYT,0
61,018I,EB 88423_M6x16_Zn,0
62,018I,011P_05.00.00.001_Blacha,0
63,018I,011P_04.00.00.001_Wal,0
64,018I,DIN_471_Z20x1.2_Zn,0
65,018I,Kolo_pasowe_47_AT10_Z40_do_pasa_zebatego_32mm(przerobka_002O_1),0
66,018I,Lozysko_6204-2Z,0
67,018I,011P_02.01.00.002_Blacha-oa33,0
68,018I,011P_02.01.00.001_Blacha,0
69,018I,011P_02.01.00.002_Blacha-oa31,0
70,018I,011P_02.01.00.001_Blacha-oa30,0
71,018I,011P_02.00.00.002_Blacha-oa29,0
72,018I,011P_02.00.00.002_Blacha-oa28,0
73,018I,011P_03.00.00.001_Blacha.asm,0
74,018I,Profil_100x50x3_S235JR-oa27,0
75,018I,011P_02.01.00.002_Blacha-oa24,0
76,018I,011P_02.01.00.001_Blacha-oa23,0
77,018I,011P_02.01.00.002_Blacha,0
78,018I,011P_02.01.00.001_Blacha-oa21,0
79,018I,011P_02.00.00.002_Blacha-oa20,0
80,018I,011P_02.00.00.002_Blacha-oa19,0
81,018I,011P_02.00.00.001_Blacha,0
82,018I,Profil_100x50x3_S235JR-oa18,0
83,018I,011P_01.01.00.001_Blacha,0
84,018I,DIN_6331_M12_CZ_KL10,0
85,018I,011P_01.00.00.003_Blacha-oa17,0
86,018I,011P_01.00.00.002_Profil,0
87,018I,011P_01.00.00.001_Blacha-oa16,0
88,018I,011P_01.00.00.001_Blacha-oa15,0
89,018I,011P_01.00.00.001_Blacha-oa14,0
90,018I,011P_01.00.00.001_Blacha,0
91,018I,Profil_50x50x3_S235JR-oa13,0
92,018I,Profil_50x50x3_S235JR-oa12,0
93,018I,Profil_50x50x3_S235JR-oa11,0
94,018I,Profil_50x50x3_S235JR-oa10,0
95,018I,Profil_50x50x3_S235JR-oa9,0
96,018I,Profil_50x50x3_S235JR-oa8,0
97,018I,Profil_50x50x3_S235JR-oa7,0
98,018I,Profil_50x50x3_S235JR-oa6,0
99,018I,Profil_50x50x3_S235JR-oa5,0
100,018I,Profil_50x50x3_S235JR-oa4,0
101,018I,Profil_50x50x3_S235JR-oa3,0
102,018I,DIN_912_M6x20_Zn_KL8.8,0
103,018I,Przepust_zatrzaskowy_32x24_PGSB-35,0
104,018I,DIN_912_M8x16_Zn_KL8.8,0
105,018I,DIN_125_M8_Zn_HV200,0
106,018I,Motoreduktor_CHM_50_30_71_B14_B8_CHT_71_C4_0.55_Kw_230-400V-50Hz_2_CHT_MV_DX_90,0
107,018I,Zaslepka_NIL.T-45-C34,0
108,018I,Przepust_zatrzaskowy_45x35_PGSB-40,0
109,018I,Zaslepka_NIL.T-35-C9,0
110,018I,011P_00.00.00.008_Blacha,0
111,018I,DIN_933_M10x35_Zn_KL8.8,0
112,018I,DIN_912_M5x20_Zn_KL8.8,0
113,018I,DIN_125_M6_Zn_HV200,0
114,018I,Zaślepka SKF_ECY 205-oa2,0
115,018I,Zaślepka SKF_ECY 205,0
116,018I,"Pas AT10x32 h=6,5 L=4040-oa1",0
117,018I,"Pas AT10x32 h=6,5 L=4040",0
118,018I,DIN_125_M5_Zn_HV200,0
119,018I,DIN_7984_M5x16_Zn_KL8.8,0
120,018I,Podkladka_Schnorr_S5_Zn,0
121,018I,011P_00.00.00.001_Prowadnica,0
