,machine,name,is_asm
0,022P,022P_01.02.00.002_Blacha,0
1,022P,DIN_7991_M8x18_Zn_KL8.8,0
2,022P,Wkladka_gwintowana_M8_C32-85,0
3,022P,022P_01.02.00.001_Blacha,0
4,022P,DIN_125_M8_Zn_HV200,0
5,022P,DIN_912_M8x20_Zn_KL8.8,0
6,022P,022P_01.03.00.001_Blacha,0
7,022P,Profil_aluminiowy_Kanya_40x80_C01-3_oa_0,0
8,022P,Profil_aluminiowy_Kanya_40x80_C01-3_oa_1,0
9,022P,Katownik_C30-02,0
10,022P,DIN_7984_M8x16_Zn_KL8.8,0
11,022P,Zlaczka_uniwersalna_C20-90,0
12,022P,Profil_aluminiowy_Kanya_40x80_C01-3_oa_2,0
13,022P,022P_01.09.00.001_Blacha,0
14,022P,DIN_127_M8_Zn_HV200,0
15,022P,022P_01.10.00.001_Blacha,0
16,022P,Profil_aluminiowy_Kanya_40x40_C01-1_oa_3,0
17,022P,Katownik_usztywniajacy_40x40_304040,0
18,022P,DIN_7984_M8x18_Zn_KL8.8,0
19,022P,Wkladka _gwintowana_M6_C32-65,0
20,022P,Profil_aluminiowy_Kanya_40x40_C01-1_oa_4,0
21,022P,022P_01.12.00.001_Blacha,0
22,022P,Stopa_wahliwa_LV.FO-60-14-M16x68,0
23,022P,DIN_912_M8x16_Zn_KL8.8,0
24,022P,DIN_125_M16_Zn_HV200,0
25,022P,DIN_439_M16_Zn,0
26,022P,DIN_127_M16_Zn_HV200,0
27,022P,022P_01.12.00.003_Pret_gwintowany_M8x130,0
28,022P,DIN_934_M8_Zn_KL8,0
29,022P,Profil_aluminiowy_Kanya_40x40_C01-1_oa_5,0
30,022P,DIN_912_M6x16_Zn_KL8.8,0
31,022P,022P_00.00.00.0015_Dystans,0
32,022P,Profil_aluminiowy_Kanya_40x40_C01-1_oa_6,0
33,022P,022P_01.00.00.003_Blacha,0
34,022P,022P_01.11.00.001_Blacha,0
35,022P,022P_01.00.00.001_Blacha,0
36,022P,022P_01.00.00.002_Blacha,0
37,022P,022P_01.00.00.004_Blacha,0
38,022P,DIN_125_M6_Zn_HV200,0
39,022P,DIN_127_M6_Zn_HV200,0
40,022P,022P_01.01.00.001_Blacha,0
41,022P,DIN_912_M8x30_Zn_KL8.8,0
42,022P,DIN_933_M8x60_Zn_KL8.8,0
43,022P,Zespol_lozyskowy_UCFL_205,0
44,022P,Czujnik_fotoelektryczny_WTB16P-24161120A00,0
45,022P,022P_00.00.00.001_Wal,0
46,022P,022P_03.01.00.001_Wal,0
47,022P,022P_03.01.00.002_Blacha,0
48,022P,022P_03.01.00.003_Blacha,0
49,022P,022P_03.01.00.004_Blacha,0
50,022P,Zespol_lozyskowy_UCPA204,0
51,022P,Podkladka_Schnorr_S8_Zn,0
52,022P,Zawor_dlawiaco-zwrotny_GRLA-1_8-QS-6-D,0
53,022P,Tuleja_spiekana_A_10x15x10,0
54,022P,022P_03.00.00.001_Blacha,0
55,022P,022P_03.00.00.002M_Blacha,0
56,022P,"6144 SG-M10x1,25---(GK)",0
57,022P,DIN-439-B - M10x1_25(F),0
58,022P,200063 FKB-10X20,0
59,022P,Mocowanie_czujnika_SMBR-8-25,0
60,022P,19219 DSNU-25-25-P---(A----0-ZR),0
61,022P,DIN-439-B - M22x1_5(F),0
62,022P,19219 DSNU-25-25-P---(A---00--0-KS),0
64,022P,6059 LBN-20_25---(L),0
65,022P,"369456 BZ-08-025,0-AA (32)",0
66,022P,210028 8 SXN 08 VERZINKT_SL,0
67,022P,Czujnik_polozenia_W095411,0
68,022P,DIN_7984_M6x12_Zn_KL8.8,0
69,022P,DIN_7991_M10x30_Zn_KL8.8,0
70,022P,"022P_00.00.00.004_Pas_zebaty_T10x50_H6,5_Twardy_PU_505Z_L=5050_Bez_Fazy",0
71,022P,ISO_7379-10-M8-16,0
72,022P,022P_05.00.00.007_Walek_prowadzacy_fi16_h6_(przerobka_022P),0
73,022P,DIN_912_M6x20_Zn_KL8.8,0
74,022P,DIN-439-B - M22x1.5x-A2-70(F),0
75,022P,683678 SBN-20_25---(R),0
76,022P,539927 SBN-20_25---(0LB),0
77,022P,022P_05.00.00.003_Blacha,0
78,022P,022P_05.00.00.006_Dystans,0
79,022P,Lozysko_liniowe_w_obudowie_SMAG16UU,0
80,022P,"Festo_9261 SGS-M10x1,25---(S_0_0_0)",0
82,022P,Wibroizolator_DVB.6-25-17-M6-18-40,0
83,022P,19252 DSNU-25-250-PPV---(A----0-ZR),0
85,022P,19252 DSNU-25-250-PPV---(A---00--0-KS),0
87,022P,022P_05.00.00.004_Blacha,0
88,022P,DIN_985_M6_Zn_KL8,0
89,022P,DIN_125_M5_Zn_HV200,0
90,022P,DIN_127_M5_Zn_HV200,0
91,022P,DIN_912_M5x30_Zn_KL8.8,0
92,022P,022P_05.00.00.005_Blacha,0
93,022P,DIN_912_M5x20_Zn_KL8.8,0
94,022P,022P_05.00.00.001_Blacha,0
95,022P,022P_05.02.01.001_Blacha,0
96,022P,022P_05.02.01.002M_Blacha,0
97,022P,022P_05.02.01.003_Blacha,0
98,022P,022P_05.02.00.001M_Blacha,0
99,022P,DIN_7337_A_4x6_Al_Al,0
100,022P,022P_05.00.00.008_Prowadnik_0_762m_B15i_015_048_0___1015_34P_A2_2,0
101,022P,022P_05.00.00.009_Dystans,0
102,022P,Podkladka_Schnorr_S5_Zn,0
103,022P,022P_05.01.00.001M_Blach,0
104,022P,Hinges with screw-covers CFQ.50 SH-4-C9-1,0
105,022P,Hinges with screw-covers CFQ.50 CH-4-C9-2,0
106,022P,022P_05.01.00.002_Blacha,0
107,022P,ISO_7380_2_M3x6_Zn_KL8.8,0
108,022P,Sprezyna_Sodemann_C03900431250S,0
109,022P,022P_05.01.00.003M_Blacha,0
110,022P,022P_05.01.00.004M_Blacha,0
111,022P,022P_05.01.00.005M_Blacha,0
112,022P,022P_05.01.00.006M_Blacha,0
113,022P,022P_05.01.00.009_Podkladka,0
114,022P,022P_05.01.00.007_Blacha,0
115,022P,DIN_933_M6x25_Zn_KL8.8,0
116,022P,022P_05.01.00.008M_Blacha,0
117,022P,DIN_985_M4_Zn_KL8,0
118,022P,DIN_7991_M4x12_Zn_KL8.8,0
119,022P,Czujnik_indukcyjny_e2b-s08ks02-mc-b1,0
120,022P,DIN_985_M5_Zn_KL8,0
121,022P,DIN_7991_M5x25_Zn_KL8.8,0
122,022P,ISO_7380_1_M5x25_Zn_KL8.8,0
123,022P,ISO_7380_1_M5x12_Zn_KL8.8,0
124,022P,DIN_934_M6_Zn_KL8,0
125,022P,022P_00.00.00.017_Blacha,0
126,022P,Sprezyna_dociskowa_12170,0
127,022P,Profil_aluminiowy_Kanya_40x40_C01-1_oa_10,0
128,022P,022P_06.02.00.001_Blacha,0
129,022P,022P_06.02.00.002_Blacha,0
130,022P,022P_06.02.00.003_Zebro,0
131,022P,022P_00.00.00.002_Wal,0
132,022P,Profil_aluminiowy_Kanya_40x80_C01-3_oa_11,0
133,022P,Profil_40x40x3_S235JR_oa_12,0
134,022P,022P_13.02.00.001_Blacha,0
135,022P,022P_13.02.00.002_Blacha,0
136,022P,DIN_9021_M10_Zn_HV200,0
137,022P,022P_00.00.00.018_Blacha,0
138,022P,Podkladka_Schnorr_S6_Zn,0
139,022P,022P_02.04.02.001_Pierscien,0
140,022P,DIN_913_M6x6_Zn_KL8.8,0
141,022P,022P_00.00.00.010_Prowadnica,0
142,022P,"Motoreduktor_CHM_50_7,5_80_B14_V6_CHT_80_D4_1.10_Kw_230-400V-50Hz_1_PC_DX",0
143,022P,022P_00.00.00.019_Blacha,0
144,022P,022P_00.00.00.099_Mocowanie_czujnika_WTB16P,0
145,022P,022P_12.00.00.001_Blacha,0
146,022P,DIN_7991_M10x20_Zn_KL8.8,0
147,022P,022P_10.00.00.001_Kolo_47_T10_32_2F_do_pasa_zebatego_32mm_(przerobka_022P),0
148,022P,Lozysko_61906-2RS,0
149,022P,022P_08.00.00.002_Dystans,0
150,022P,DIN_472_W47_1_75_Zn,0
151,022P,Pierscien_osadczy_GN_705-30-E,0
152,022P,DIN_6921_M12x25_KL8.8,0
153,022P,022P_11.00.00.001_Kolo_47_T10_32_2F_do_pasa_zebatego_32mm_przerobka_022P),0
154,022P,Tuleja_zaciskowa_BK13_30x55,0
155,022P,022P_03.00.00.002_Blacha,0
156,022P,022P_05.01.00.001_Blacha,0
157,022P,022P_05.01.00.003_Blacha,0
158,022P,022P_05.01.00.004_Blacha,0
159,022P,022P_05.01.00.005_Blacha,0
160,022P,022P_05.01.00.006_Blacha,0
