,is_asm,machine,asm_name,name,biblioteka,par_per_asm
0,1,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_01.00.00.000_Modul_rolkowy,032P_01.00.00.000_Modul_rolkowy,1
1,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.001_Wal_napedowy,032P_00.00.00.001_Wal_napedowy,1
2,1,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_02.00.00.000_Modul_lancuchowy,032P_02.00.00.000_Modul_lancuchowy,1
3,1,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_02.00.00.000_Modul_lancuchowy,032P_02.00.00.000_Modul_lancuchowy,1
4,1,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_02.00.00.000_Modul_lancuchowy,032P_02.00.00.000_Modul_lancuchowy,1
5,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M6_Zn_HV200,DIN_127_M6_Zn_HV200,1
6,1,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_03.00.00.000_Podpora_modulu_lancuch,032P_03.00.00.000_Podpora_modulu_lancuch,1
7,1,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_02.00.00.000_Modul_lancuchowy,032P_02.00.00.000_Modul_lancuchowy,1
8,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
9,1,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_02.00.00.000_Modul_lancuchowy,032P_02.00.00.000_Modul_lancuchowy,1
10,1,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_02.00.00.000_Modul_lancuchowy,032P_02.00.00.000_Modul_lancuchowy,1
11,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
12,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_912_M6x12_Zn_KL8.8,DIN_912_M6x12_Zn_KL8.8,1
13,1,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_02.00.00.000_Modul_lancuchowy,032P_02.00.00.000_Modul_lancuchowy,1
14,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,Wibroizolator_DVA.4-40-20-M10-23-70,Wibroizolator_DVA.4-40-20-M10-23-70,1
15,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_985_M10_Zn_KL8,DIN_985_M10_Zn_KL8,1
16,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.006_Oslona_lancucha,032P_00.00.00.006_Oslona_lancucha,1
17,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M10_Zn_HV200,DIN_125_M10_Zn_HV200,1
