,mach_id,asm_id,asm_name,par_id,ile,id,name
0,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id13426,,id13426,032P_00.00.00.001_Wal_napedowy
1,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id18470,,id18470,DIN_127_M6_Zn_HV200
2,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id20325,,id20325,DIN_125_M6_Zn_HV200
3,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id21516,,id21516,DIN_125_M6_Zn_HV200
4,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id21561,,id21561,DIN_912_M6x12_Zn_KL8.8
5,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22181,,id22181,Wibroizolator_DVA.4-40-20-M10-23-70
6,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22232,,id22232,DIN_985_M10_Zn_KL8
7,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22352,,id22352,032P_00.00.00.006_Oslona_lancucha
8,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22355,,id22355,DIN_125_M10_Zn_HV200
9,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22358,,id22358,DIN_912_M6x12_Zn_KL8.8
10,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22361,,id22361,DIN_127_M6_Zn_HV200
11,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22364,,id22364,DIN_125_M10_Zn_HV200
12,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22744,,id22744,032P_00.00.00.002_Kolo_lancuchowe_z_piasta_16B-2_z17
13,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22747,,id22747,Wibroizolator_DVA.4-40-20-M10-23-70
14,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22750,,id22750,DIN_125_M6_Zn_HV200
15,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22753,,id22753,DIN_127_M6_Zn_HV200
16,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22756,,id22756,DIN_912_M6x12_Zn_KL8.8
17,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22759,,id22759,DIN_912_M6x12_Zn_KL8.8
18,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22762,,id22762,DIN_127_M6_Zn_HV200
19,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22765,,id22765,DIN_125_M6_Zn_HV200
20,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22768,,id22768,DIN_125_M10_Zn_HV200
21,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22771,,id22771,Wibroizolator_DVA.4-40-20-M10-23-70
22,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22774,,id22774,DIN_985_M10_Zn_KL8
23,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22777,,id22777,DIN_125_M10_Zn_HV200
24,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22780,,id22780,Wibroizolator_DVA.4-40-20-M10-23-70
25,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22783,,id22783,DIN_985_M10_Zn_KL8
26,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22786,,id22786,DIN_125_M10_Zn_HV200
27,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22789,,id22789,DIN_125_M10_Zn_HV200
28,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22792,,id22792,DIN_985_M10_Zn_KL8
29,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22795,,id22795,DIN_985_M10_Zn_KL8
30,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22798,,id22798,DIN_125_M10_Zn_HV200
31,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22801,,id22801,DIN_985_M10_Zn_KL8
32,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22986,,id22986,Wibroizolator_DVA.4-40-20-M10-23-70
33,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22989,,id22989,DIN_125_M10_Zn_HV200
34,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22992,,id22992,Wibroizolator_DVA.4-40-20-M10-23-70
35,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22995,,id22995,DIN_985_M10_Zn_KL8
36,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id23151,,id23151,032P_00.00.00.005_Oslona_lancucha
37,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id23154,,id23154,Wibroizolator_DVA.4-40-20-M10-23-70
38,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id23157,,id23157,Wibroizolator_DVA.4-40-20-M10-23-70
39,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id23883,,id23883,Szafa_bazowa_AX_1054.000
40,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id23886,,id23886,DIN_985_M10_Zn_KL8
41,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24588,,id24588,Pokrywa_zamykajaca_ECY_208
42,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24591,,id24591,DIN_127_M6_Zn_HV200
43,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24827,,id24827,Tuleja_zaciskowa_RCK11_40x75
44,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24830,,id24830,DIN_125_M6_Zn_HV200
45,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24833,,id24833,Pokrywa_zamykajaca_ECY_208
46,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24836,,id24836,DIN_125_M6_Zn_HV200
47,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24839,,id24839,DIN_127_M6_Zn_HV200
48,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24842,,id24842,DIN_127_M6_Zn_HV200
49,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24845,,id24845,DIN_912_M6x12_Zn_KL8.8
50,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24848,,id24848,032P_00.00.00.001_Wal_napedowy
51,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24851,,id24851,DIN_127_M6_Zn_HV200
52,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24854,,id24854,DIN_912_M6x12_Zn_KL8.8
53,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24857,,id24857,DIN_125_M6_Zn_HV200
54,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25490,,id25490,Motoreduktor_CHM_90_20_100_B14_B3_CHT_100_L_A4_2.20_Kw_230-400V-50Hz_2_CHT_MVS_DX_PC_SX
55,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25493,,id25493,DIN_127_M6_Zn_HV200
