"maszyna","asm_id","zespol","par_id","ilosc","name"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id13",1,"032P_01.00.00.000_Modul_rolkowy"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id13426",1,"032P_00.00.00.001_Wal_napedowy"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id13432",1,"032P_02.00.00.000_Modul_lancuchowy"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id17282",1,"032P_02.00.00.000_Modul_lancuchowy"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id17876",1,"032P_02.00.00.000_Modul_lancuchowy"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id18470",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id18476",1,"032P_03.00.00.000_Podpora_modulu_lancuch"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id19731",1,"032P_02.00.00.000_Modul_lancuchowy"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id20325",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id20328",1,"032P_02.00.00.000_Modul_lancuchowy"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id20922",1,"032P_02.00.00.000_Modul_lancuchowy"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id21516",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id21561",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id21564",1,"032P_02.00.00.000_Modul_lancuchowy"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22181",1,"Wibroizolator_DVA.4-40-20-M10-23-70"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22232",1,"DIN_985_M10_Zn_KL8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22352",1,"032P_00.00.00.006_Oslona_lancucha"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22355",1,"DIN_125_M10_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22358",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22361",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22364",1,"DIN_125_M10_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22744",1,"032P_00.00.00.002_Kolo_lancuchowe_z_piasta_16B-2_z17"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22747",1,"Wibroizolator_DVA.4-40-20-M10-23-70"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22750",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22753",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22756",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22759",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22762",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22765",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22768",1,"DIN_125_M10_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22771",1,"Wibroizolator_DVA.4-40-20-M10-23-70"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22774",1,"DIN_985_M10_Zn_KL8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22777",1,"DIN_125_M10_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22780",1,"Wibroizolator_DVA.4-40-20-M10-23-70"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22783",1,"DIN_985_M10_Zn_KL8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22786",1,"DIN_125_M10_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22789",1,"DIN_125_M10_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22792",1,"DIN_985_M10_Zn_KL8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22795",1,"DIN_985_M10_Zn_KL8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22798",1,"DIN_125_M10_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22801",1,"DIN_985_M10_Zn_KL8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22807",1,"032P_04.00.00.000_Banda_boczna_stala"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22986",1,"Wibroizolator_DVA.4-40-20-M10-23-70"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22989",1,"DIN_125_M10_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22992",1,"Wibroizolator_DVA.4-40-20-M10-23-70"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id22995",1,"DIN_985_M10_Zn_KL8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id23151",1,"032P_00.00.00.005_Oslona_lancucha"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id23154",1,"Wibroizolator_DVA.4-40-20-M10-23-70"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id23157",1,"Wibroizolator_DVA.4-40-20-M10-23-70"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id23883",1,"Szafa_bazowa_AX_1054.000"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id23886",1,"DIN_985_M10_Zn_KL8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id23892",1,"Sprzeglo_GE-T 38-45_SG__d1=40__d2=40"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24588",1,"Pokrywa_zamykajaca_ECY_208"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24591",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24827",1,"Tuleja_zaciskowa_RCK11_40x75"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24830",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24833",1,"Pokrywa_zamykajaca_ECY_208"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24836",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24839",1,"DIN_127_M6_Zn_HV200"
