,mach_id,asm_id,asm_name,par_id,ile,name
0,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id13,1,
1,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id13426,1,032P_00.00.00.001_Wal_napedowy
2,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id13432,1,
3,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id17282,1,
4,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id17876,1,
5,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id18470,1,DIN_127_M6_Zn_HV200
6,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id18476,1,
7,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id19731,1,
8,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id20325,1,DIN_125_M6_Zn_HV200
9,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id20328,1,
10,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id20922,1,
11,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id21516,1,DIN_125_M6_Zn_HV200
12,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id21561,1,DIN_912_M6x12_Zn_KL8.8
13,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id21564,1,
14,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22181,1,Wibroizolator_DVA.4-40-20-M10-23-70
15,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22232,1,DIN_985_M10_Zn_KL8
16,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22352,1,032P_00.00.00.006_Oslona_lancucha
17,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22355,1,DIN_125_M10_Zn_HV200
18,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22358,1,DIN_912_M6x12_Zn_KL8.8
19,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22361,1,DIN_127_M6_Zn_HV200
20,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22364,1,DIN_125_M10_Zn_HV200
21,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22744,1,032P_00.00.00.002_Kolo_lancuchowe_z_piasta_16B-2_z17
22,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22747,1,Wibroizolator_DVA.4-40-20-M10-23-70
23,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22750,1,DIN_125_M6_Zn_HV200
24,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22753,1,DIN_127_M6_Zn_HV200
25,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22756,1,DIN_912_M6x12_Zn_KL8.8
26,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22759,1,DIN_912_M6x12_Zn_KL8.8
27,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22762,1,DIN_127_M6_Zn_HV200
28,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22765,1,DIN_125_M6_Zn_HV200
29,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22768,1,DIN_125_M10_Zn_HV200
30,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22771,1,Wibroizolator_DVA.4-40-20-M10-23-70
31,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22774,1,DIN_985_M10_Zn_KL8
32,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22777,1,DIN_125_M10_Zn_HV200
33,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22780,1,Wibroizolator_DVA.4-40-20-M10-23-70
34,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22783,1,DIN_985_M10_Zn_KL8
35,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22786,1,DIN_125_M10_Zn_HV200
36,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22789,1,DIN_125_M10_Zn_HV200
37,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22792,1,DIN_985_M10_Zn_KL8
38,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22795,1,DIN_985_M10_Zn_KL8
39,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22798,1,DIN_125_M10_Zn_HV200
40,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22801,1,DIN_985_M10_Zn_KL8
41,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22807,1,
42,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22986,1,Wibroizolator_DVA.4-40-20-M10-23-70
43,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22989,1,DIN_125_M10_Zn_HV200
44,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22992,1,Wibroizolator_DVA.4-40-20-M10-23-70
45,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22995,1,DIN_985_M10_Zn_KL8
46,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id23151,1,032P_00.00.00.005_Oslona_lancucha
47,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id23154,1,Wibroizolator_DVA.4-40-20-M10-23-70
48,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id23157,1,Wibroizolator_DVA.4-40-20-M10-23-70
49,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id23883,1,Szafa_bazowa_AX_1054.000
50,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id23886,1,DIN_985_M10_Zn_KL8
51,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id23892,1,
52,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24588,1,Pokrywa_zamykajaca_ECY_208
53,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24591,1,DIN_127_M6_Zn_HV200
54,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24827,1,Tuleja_zaciskowa_RCK11_40x75
55,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24830,1,DIN_125_M6_Zn_HV200
56,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24833,1,Pokrywa_zamykajaca_ECY_208
57,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24836,1,DIN_125_M6_Zn_HV200
58,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24839,1,DIN_127_M6_Zn_HV200
59,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24842,1,DIN_127_M6_Zn_HV200
60,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24845,1,DIN_912_M6x12_Zn_KL8.8
61,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24848,1,032P_00.00.00.001_Wal_napedowy
62,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24851,1,DIN_127_M6_Zn_HV200
63,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24854,1,DIN_912_M6x12_Zn_KL8.8
64,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24857,1,DIN_125_M6_Zn_HV200
65,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25490,1,Motoreduktor_CHM_90_20_100_B14_B3_CHT_100_L_A4_2.20_Kw_230-400V-50Hz_2_CHT_MVS_DX_PC_SX
66,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25493,1,DIN_127_M6_Zn_HV200
67,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25876,1,032P_00.00.00.003_Kolo_lancuchowe_z_piasta_16B-2_z17
68,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25879,1,DIN_912_M6x12_Zn_KL8.8
69,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25882,1,DIN_125_M6_Zn_HV200
70,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25885,1,DIN_125_M6_Zn_HV200
71,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25888,1,DIN_127_M6_Zn_HV200
72,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25891,1,DIN_127_M6_Zn_HV200
73,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25894,1,DIN_912_M6x12_Zn_KL8.8
74,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25934,1,032P_00.00.00.004_Tulejka_dociskowa_kola
75,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25937,1,DIN_127_M6_Zn_HV200
76,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25940,1,DIN_912_M6x12_Zn_KL8.8
77,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25943,1,DIN_125_M6_Zn_HV200
