,mach_id,asm_id,asm_name,par_id,ile
0,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id13,1
1,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id13426,1
2,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id13432,1
3,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id17282,1
4,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id17876,1
5,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id18470,1
6,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id18476,1
7,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id19731,1
8,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id20325,1
9,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id20328,1
10,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id20922,1
11,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id21516,1
12,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id21561,1
13,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id21564,1
14,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22181,1
15,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22232,1
16,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22352,1
17,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22355,1
18,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22358,1
19,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22361,1
20,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22364,1
21,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22744,1
22,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22747,1
23,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22750,1
24,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22753,1
25,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22756,1
26,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22759,1
27,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22762,1
28,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22765,1
29,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22768,1
30,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22771,1
31,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22774,1
32,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22777,1
33,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22780,1
34,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22783,1
35,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22786,1
36,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22789,1
37,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22792,1
38,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22795,1
39,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22798,1
40,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22801,1
41,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22807,1
42,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22986,1
43,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22989,1
44,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22992,1
45,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id22995,1
46,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id23151,1
47,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id23154,1
48,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id23157,1
49,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id23883,1
