,mach_id,asm_id,name,par_id,ile
0,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id13,1
134,032P,id13,032P_01.00.00.000_Modul_rolkowy,id19,1
718,032P,id19,032P_01.01.00.000_Rama_A,id106,1
790,032P,id1228,032P_01.02.00.000_Rama_B,id1279,1
870,032P,id1877,"032P_01.06.00.000_Lancuch_10B-1x34_539,75",id1927,1
904,032P,id2077,"032P_01.07.00.000_Lancuch_10B-1x52_825,5",id2080,1
956,032P,id2385,"Łańcuch 10B-1 x 52 a=310 L=825,5",id2484,1
1008,032P,id2803,"Łańcuch 10B-1 x 52 a=310 L=825,5",id2804,1
1060,032P,id2910,"Łańcuch 10B-1 x 52 a=310 L=825,5",id2911,1
1112,032P,id3017,"Łańcuch 10B-1 x 52 a=310 L=825,5",id3018,1
1164,032P,id3124,"Łańcuch 10B-1 x 52 a=310 L=825,5",id3125,1
1216,032P,id3231,"Łańcuch 10B-1 x 52 a=310 L=825,5",id3232,1
1268,032P,id3341,"032P_01.08.00.000_Lancuch_10B-1x58_920,75",id3347,1
1326,032P,id3838,"Łańcuch 10B-1 x 52 a=310 L=825,5",id3839,1
1378,032P,id4003,"Łańcuch 10B-1 x 52 a=310 L=825,5",id4004,1
1430,032P,id4110,"Łańcuch 10B-1 x 52 a=310 L=825,5",id4111,1
1482,032P,id4567,032P_01.09.00.000_Wspornik czujnika,id4627,1
1497,032P,id4633,032P_01.09.01.000_Wspornik,id4672,1
1501,032P,id5563,"Łańcuch 10B-1 x 52 a=310 L=825,5",id5564,1
1553,032P,id5673,"032P_01.06.00.000_Lancuch_10B-1x34_539,75",id5674,1
1587,032P,id5713,"032P_01.06.00.000_Lancuch_10B-1x34_539,75",id5714,1
1621,032P,id5750,"032P_01.07.00.000_Lancuch_10B-1x52_825,5",id5751,1
1673,032P,id5864,"032P_01.06.00.000_Lancuch_10B-1x34_539,75",id5865,1
1707,032P,id5901,"032P_01.06.00.000_Lancuch_10B-1x34_539,75",id5902,1
1741,032P,id5938,"032P_01.06.00.000_Lancuch_10B-1x34_539,75",id5939,1
1775,032P,id5975,"032P_01.06.00.000_Lancuch_10B-1x34_539,75",id5976,1
1809,032P,id6012,"032P_01.06.00.000_Lancuch_10B-1x34_539,75",id6013,1
1843,032P,id6049,"032P_01.06.00.000_Lancuch_10B-1x34_539,75",id6050,1
1877,032P,id6086,"032P_01.06.00.000_Lancuch_10B-1x34_539,75",id6087,1
1911,032P,id6123,"032P_01.06.00.000_Lancuch_10B-1x34_539,75",id6124,1
1945,032P,id6160,"032P_01.06.00.000_Lancuch_10B-1x34_539,75",id6161,1
1979,032P,id6197,"032P_01.06.00.000_Lancuch_10B-1x34_539,75",id6198,1
2013,032P,id6234,"032P_01.06.00.000_Lancuch_10B-1x34_539,75",id6235,1
2047,032P,id6277,20220203-4.02.01.04.00 Koło łańcuch. 2 x 10B-1 z=13,id6317,1
2055,032P,id6899,"032P_01.07.00.000_Lancuch_10B-1x52_825,5",id6900,1
2107,032P,id6966,"032P_01.07.00.000_Lancuch_10B-1x52_825,5",id6967,1
2159,032P,id7027,20220203-4.02.01.04.00 Koło łańcuch. 2 x 10B-1 z=13,id7028,1
2167,032P,id7041,"032P_01.07.00.000_Lancuch_10B-1x52_825,5",id7042,1
2219,032P,id7099,032P_01.03.00.000_Stopka_M16x150,id7138,1
2222,032P,id7340,032P_01.03.00.000_Stopka_M16x150,id7341,1
2225,032P,id7363,"032P_01.07.00.000_Lancuch_10B-1x52_825,5",id7364,1
2277,032P,id7486,20220203-4.02.01.04.00 Koło łańcuch. 2 x 10B-1 z=13,id7487,1
2285,032P,id7521,032P_01.03.00.000_Stopka_M16x150,id7522,1
2288,032P,id7529,032P_01.03.00.000_Stopka_M16x150,id7530,1
2291,032P,id7561,032P_01.03.00.000_Stopka_M16x150,id7562,1
2294,032P,id7569,032P_01.03.00.000_Stopka_M16x150,id7570,1
2297,032P,id7601,032P_01.03.00.000_Stopka_M16x150,id7602,1
2300,032P,id7609,032P_01.03.00.000_Stopka_M16x150,id7610,1
2303,032P,id7641,032P_01.03.00.000_Stopka_M16x150,id7642,1
2306,032P,id7649,032P_01.03.00.000_Stopka_M16x150,id7650,1
2309,032P,id7657,"032P_01.07.00.000_Lancuch_10B-1x52_825,5",id7658,1
2361,032P,id7712,"032P_01.07.00.000_Lancuch_10B-1x52_825,5",id7713,1
2413,032P,id7767,20220203-4.02.01.04.00 Koło łańcuch. 2 x 10B-1 z=13,id7768,1
2421,032P,id7811,20220203-4.02.01.04.00 Koło łańcuch. 2 x 10B-1 z=13,id7812,1
2429,032P,id7822,20220203-4.02.01.04.00 Koło łańcuch. 2 x 10B-1 z=13,id7823,1
2437,032P,id7833,20220203-4.02.01.04.00 Koło łańcuch. 2 x 10B-1 z=13,id7834,1
2445,032P,id7844,20220203-4.02.01.04.00 Koło łańcuch. 2 x 10B-1 z=13,id7845,1
