"maszyna","asm_id","zespol","par_id","ilosc","name","biblioteka"
"000Y","id5","000Y_01.01.00.000S_Belka_id5","id52",1,"Profil_60x60x3_S235JR","Profil_60x60x3_S235JR"
"000Y","id5","000Y_01.01.00.000S_Belka_id5","id97",1,"Profil_60x60x3_S235JR","Profil_60x60x3_S235JR"
"000Y","id5","000Y_01.01.00.000S_Belka_id5","id142",1,"Profil_60x60x3_S235JR","Profil_60x60x3_S235JR"
"000Y","id5","000Y_01.01.00.000S_Belka_id5","id228",1,"Profil_60x60x3_S235JR","Profil_60x60x3_S235JR"
"000Y","id5","000Y_01.01.00.000S_Belka_id5","id266",1,"000Y_01.01.00.001_Blacha_A","000Y_01.01.00.001_Blacha_A"
"000Y","id5","000Y_01.01.00.000S_Belka_id5","id269",1,"000Y_01.01.00.001_Blacha_A","000Y_01.01.00.001_Blacha_A"
"000Y","id5","000Y_01.01.00.000S_Belka_id5","id272",1,"000Y_01.01.00.001_Blacha_A","000Y_01.01.00.001_Blacha_A"
"000Y","id5","000Y_01.01.00.000S_Belka_id5","id275",1,"000Y_01.01.00.001_Blacha_A","000Y_01.01.00.001_Blacha_A"
"000Y","id5","000Y_01.01.00.000S_Belka_id5","id313",1,"000Y_01.01.00.002_Blacha_B","000Y_01.01.00.002_Blacha_B"
"000Y","id5","000Y_01.01.00.000S_Belka_id5","id316",1,"000Y_01.01.00.002_Blacha_B","000Y_01.01.00.002_Blacha_B"
"000Y","id5","000Y_01.01.00.000S_Belka_id5","id355",1,"000Y_01.01.00.003_Tulejka","000Y_01.01.00.003_Tulejka"
"000Y","id5","000Y_01.01.00.000S_Belka_id5","id358",1,"000Y_01.01.00.003_Tulejka","000Y_01.01.00.003_Tulejka"
"000Y","id5","000Y_01.01.00.000S_Belka_id5","id361",1,"000Y_01.01.00.003_Tulejka","000Y_01.01.00.003_Tulejka"
"000Y","id5","000Y_01.01.00.000S_Belka_id5","id364",1,"000Y_01.01.00.003_Tulejka","000Y_01.01.00.003_Tulejka"
"000Y","id5","000Y_01.01.00.000S_Belka_id5","id367",1,"000Y_01.01.00.003_Tulejka","000Y_01.01.00.003_Tulejka"
"000Y","id5","000Y_01.01.00.000S_Belka_id5","id370",1,"000Y_01.01.00.003_Tulejka","000Y_01.01.00.003_Tulejka"
