"maszyna","asm_id","zespol","par_id","ilosc","name","biblioteka"
"002D","id5","002D_00.00.00.000_Manipulator_do_rozsztaplowania_id5","id13",1,"002D_01.00.00.000_Rama_manipulatora","002D_01.00.00.000_Rama_manipulatora"
"002D","id5","002D_00.00.00.000_Manipulator_do_rozsztaplowania_id5","id9410",1,"001D_07.00.00.000_Klamra_spinajaca_F15-HP","001D_07.00.00.000_Klamra_spinajaca_F15-HP"
"002D","id5","002D_00.00.00.000_Manipulator_do_rozsztaplowania_id5","id9637",1,"001D_08.00.00.000_Klamra_spinajaca_F50-HP","001D_08.00.00.000_Klamra_spinajaca_F50-HP"
"002D","id5","002D_00.00.00.000_Manipulator_do_rozsztaplowania_id5","id9977",1,"Pas_Synchrodrive_50_AT10_HP-4400_os_Y","Pas_Synchrodrive_50_AT10_HP-4400_os_Y"
"002D","id5","002D_00.00.00.000_Manipulator_do_rozsztaplowania_id5","id10023",1,"Pas_Polyflat_F15-HP-3500_os_Z","Pas_Polyflat_F15-HP-3500_os_Z"
"002D","id5","002D_00.00.00.000_Manipulator_do_rozsztaplowania_id5","id10029",1,"002D_02.00.00.000_Ramie_os_Z","002D_02.00.00.000_Ramie_os_Z"
"002D","id5","002D_00.00.00.000_Manipulator_do_rozsztaplowania_id5","id16540",1,"002D_03.00.00.000_Wozek_os_Y","002D_03.00.00.000_Wozek_os_Y"
"002D","id5","002D_00.00.00.000_Manipulator_do_rozsztaplowania_id5","id33739",1,"Pas_Polyflat_F50-HP-5800_os_Z","Pas_Polyflat_F50-HP-5800_os_Z"
"002D","id5","002D_00.00.00.000_Manipulator_do_rozsztaplowania_id5","id33745",1,"002D_05.00.00.000_Chwytak_prozniowy","002D_05.00.00.000_Chwytak_prozniowy"
"002D","id5","002D_00.00.00.000_Manipulator_do_rozsztaplowania_id5","id45889",1,"002D_04.00.00.000_Wozek_os_X","002D_04.00.00.000_Wozek_os_X"
"002D","id5","002D_00.00.00.000_Manipulator_do_rozsztaplowania_id5","id63009",1,"Pas_Polyflat_F15-HP-3500_os_Z","Pas_Polyflat_F15-HP-3500_os_Z"
"002D","id5","002D_00.00.00.000_Manipulator_do_rozsztaplowania_id5","id63041",1,"Pas_Synchrodrive_75_AT10_HP-12000_os_X","Pas_Synchrodrive_75_AT10_HP-12000_os_X"
"002D","id5","002D_00.00.00.000_Manipulator_do_rozsztaplowania_id5","id63044",1,"Pas_Synchrodrive_75_AT10_HP-12000_os_X","Pas_Synchrodrive_75_AT10_HP-12000_os_X"
"002D","id5","002D_00.00.00.000_Manipulator_do_rozsztaplowania_id5","id63050",1,"002D_06.00.00.000_Brama zgarniajaca","002D_06.00.00.000_Brama zgarniajaca"
"002D","id5","002D_00.00.00.000_Manipulator_do_rozsztaplowania_id5","id77303",1,"001D_07.00.00.000_Klamra_spinajaca_F15-HP","001D_07.00.00.000_Klamra_spinajaca_F15-HP"
"002D","id13","002D_01.00.00.000_Rama_manipulatora_id13","id45",1,"DIN_125_M16_Zn_HV200","DIN_125_M16_Zn_HV200"
"002D","id13","002D_01.00.00.000_Rama_manipulatora_id13","id103",1,"DIN_931_M24x90_Zn_KL8.8","DIN_931_M24x90_Zn_KL8.8"
"002D","id13","002D_01.00.00.000_Rama_manipulatora_id13","id150",1,"DIN_934_M24_Zn_KL8","DIN_934_M24_Zn_KL8"
"002D","id13","002D_01.00.00.000_Rama_manipulatora_id13","id182",1,"DIN_125_M24_Zn_HV200","DIN_125_M24_Zn_HV200"
