,machine,name,is_asm
0,002D,DIN_125_M16_Zn_HV200,0
1,002D,DIN_931_M24x90_Zn_KL8.8,0
2,002D,DIN_934_M24_Zn_KL8,0
3,002D,DIN_125_M24_Zn_HV200,0
4,002D,DIN_127_M16_Zn_HV200,0
5,002D,001D_01.05.00.001_Dwuteownik_IPE_200_3760,0
6,002D,001D_01.05.00.002_Blacha_czolowa,0
7,002D,001D_01.05.00.003_Ceownik_UPN_100_500,0
8,002D,001D_01.05.00.004_Ceownik_UPN_100_807,0
9,002D,001D_01.05.00.004M_Ceownik_UPN_100_807,0
10,002D,002D_01.01.00.001_Dwuteownik_HE_240_B_12000,0
11,002D,001D_01.03.00.002_Blacha_boczna,0
12,002D,001D_01.03.00.003_Blacha_10x410x235,0
13,002D,001D_01.03.00.004_Blacha_20x240x472,0
14,002D,001D_01.03.00.007_Zebro,0
15,002D,001D_01.03.00.005_Dwuteownik_IPE_200_200,0
16,002D,001D_01.03.00.006_Blacha_napinacza,0
17,002D,001D_01.07.00.001_Profil_rynny,0
18,002D,DIN_7991_M6x20_Zn_KL8.8,0
19,002D,DIN_127_M24_Zn_HV200,0
20,002D,001D_01.01.00.001_Płyta podstawy,0
21,002D,001D_01.01.00.006_Zebro_HEB_wew,0
22,002D,001D_01.01.00.005_Kostka_wsporcza,0
23,002D,001D_01.01.00.002_Zebro_podstawy,0
24,002D,001D_01.01.00.003_Dwuteownik_HE_240_B_2800,0
25,002D,001D_01.01.00.004_Plyta_boczna,0
26,002D,DIN_934_M16_Zn_KL8,0
27,002D,002D_01.07.00.001_Dwuteownik_HE_240_B_1500,0
28,002D,002D_01.07.00.002_Dwuteownik_HE_240_B_1300,0
29,002D,002D_01.07.00.003_Lata_slupa,0
30,002D,002D_01.04.00.001_Profil_korytka_prowadnika,0
31,002D,DIN_125_M6_Zn_HV200,0
32,002D,DIN_985_M6_Zn_KL8,0
33,002D,DIN_7991_M6x18_Zn_KL8.8,0
34,002D,001D_01.02.00.001_Dwuteownik_HE_240_B_2500,0
35,002D,001D_01.02.00.003_Zebro_gorne,0
36,002D,001D_01.02.00.002_Plyta_gorna,0
37,002D,DIN_931_M16x70_Zn_KL8.8,0
38,002D,001D_01.06.01.002_Profil_100x100x5_1800,0
39,002D,001D_01.06.01.001_Blacha_gorna,0
40,002D,001D_01.06.01.003_Blacha_dolna,0
41,002D,001D_01.06.02.001_Blacha_podstawy,0
42,002D,001D_01.06.02.002_Pret_gwint,0
43,002D,DIN_6331_M16_CZ_KL10,0
44,002D,DIN_931_M20x80_Zn_KL8.8,0
45,002D,DIN_934_M20_Zn_KL8,0
46,002D,DIN_125_M20_Zn_HV200,0
47,002D,DIN_127_M20_Zn_HV200,0
48,002D,002D_01.02.00.001_Profil_rynny,0
