"maszyna","asm_id","zespol","par_id","ilosc","name","biblioteka"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id13",1,"022P_01.04.00.000_Profil_aluminiowy_Kanya_40x80_C01-3.par","022P_01.04.00.000_Profil_aluminiowy_Kanya_40x80_C01-3.par"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id227",1,"022P_00.00.00.008_Prowadnica","022P_00.00.00.008_Prowadnica"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id230",1,"022P_00.00.00.008_Prowadnica","022P_00.00.00.008_Prowadnica"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id233",1,"022P_00.00.00.008_Prowadnica","022P_00.00.00.008_Prowadnica"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id236",1,"022P_00.00.00.008_Prowadnica","022P_00.00.00.008_Prowadnica"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id239",1,"022P_00.00.00.008_Prowadnica","022P_00.00.00.008_Prowadnica"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id245",1,"022P_12.00.00.000_Blokada_chowana_rozseparowanie","022P_12.00.00.000_Blokada_chowana_rozseparowanie"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id1752",1,"022P_01.05.00.000_Profil_aluminiowy_Kanya_40x80_C01-3","022P_01.05.00.000_Profil_aluminiowy_Kanya_40x80_C01-3"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id2111",1,"022P_13.02.00.000_Banda_stala_2","022P_13.02.00.000_Banda_stala_2"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id2309",1,"022P_01.04.00.000_Profil_aluminiowy_Kanya_40x80_C01-3.par","022P_01.04.00.000_Profil_aluminiowy_Kanya_40x80_C01-3.par"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id2316",1,"022P_01.11.00.000M_Mocowanie","022P_01.11.00.000M_Mocowanie"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id2718",1,"022P_01.10.00.000M_Mocowanie","022P_01.10.00.000M_Mocowanie"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id2913",1,"022P_00.00.00.008_Prowadnica","022P_00.00.00.008_Prowadnica"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id2916",1,"022P_00.00.00.008_Prowadnica","022P_00.00.00.008_Prowadnica"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id2919",1,"022P_00.00.00.008_Prowadnica","022P_00.00.00.008_Prowadnica"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id2925",1,"022P_09.00.00.000_Kolo_zebate_napedowe","022P_09.00.00.000_Kolo_zebate_napedowe"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id3495",1,"022P_00.00.00.001_Wal","022P_00.00.00.001_Wal"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id3501",1,"022P_01.03.00.000M_Mocowanie","022P_01.03.00.000M_Mocowanie"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id3792",1,"022P_01.02.00.000M_Mocowanie","022P_01.02.00.000M_Mocowanie"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id4085",1,"022P_01.03.00.000M_Mocowanie","022P_01.03.00.000M_Mocowanie"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id4131",1,"022P_01.02.00.000M_Mocowanie","022P_01.02.00.000M_Mocowanie"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id4177",1,"022P_01.04.00.000_Profil_aluminiowy_Kanya_40x80_C01-3.par","022P_01.04.00.000_Profil_aluminiowy_Kanya_40x80_C01-3.par"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id4181",1,"022P_01.04.00.000_Profil_aluminiowy_Kanya_40x80_C01-3.par","022P_01.04.00.000_Profil_aluminiowy_Kanya_40x80_C01-3.par"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id4185",1,"022P_01.04.00.000_Profil_aluminiowy_Kanya_40x80_C01-3.par","022P_01.04.00.000_Profil_aluminiowy_Kanya_40x80_C01-3.par"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id4189",1,"022P_01.04.00.000_Profil_aluminiowy_Kanya_40x80_C01-3.par","022P_01.04.00.000_Profil_aluminiowy_Kanya_40x80_C01-3.par"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id4193",1,"022P_01.05.00.000_Profil_aluminiowy_Kanya_40x80_C01-3","022P_01.05.00.000_Profil_aluminiowy_Kanya_40x80_C01-3"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id4233",1,"022P_01.05.00.000_Profil_aluminiowy_Kanya_40x80_C01-3","022P_01.05.00.000_Profil_aluminiowy_Kanya_40x80_C01-3"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id4273",1,"022P_01.05.00.000_Profil_aluminiowy_Kanya_40x80_C01-3","022P_01.05.00.000_Profil_aluminiowy_Kanya_40x80_C01-3"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id4313",1,"022P_01.05.00.000_Profil_aluminiowy_Kanya_40x80_C01-3","022P_01.05.00.000_Profil_aluminiowy_Kanya_40x80_C01-3"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id4353",1,"022P_01.05.00.000_Profil_aluminiowy_Kanya_40x80_C01-3","022P_01.05.00.000_Profil_aluminiowy_Kanya_40x80_C01-3"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id4396",1,"022P_01.09.00.000_Mocowanie","022P_01.09.00.000_Mocowanie"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id4567",1,"022P_01.09.00.000_Mocowanie","022P_01.09.00.000_Mocowanie"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id4598",1,"022P_12.00.00.000_Blokada_chowana_rozseparowanie","022P_12.00.00.000_Blokada_chowana_rozseparowanie"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id4649",1,"022P_00.00.00.008_Prowadnica","022P_00.00.00.008_Prowadnica"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id5053",1,"022P_01.00.00.001_Blacha","022P_01.00.00.001_Blacha"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id5601",1,"022P_01.00.00.002_Blacha","022P_01.00.00.002_Blacha"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id6073",1,"022P_01.00.00.003_Blacha","022P_01.00.00.003_Blacha"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id6076",1,"022P_01.05.00.000_Profil_aluminiowy_Kanya_40x80_C01-3","022P_01.05.00.000_Profil_aluminiowy_Kanya_40x80_C01-3"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id6218",1,"022P_00.00.00.010_Prowadnica","022P_00.00.00.010_Prowadnica"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id6221",1,"022P_09.00.00.000_Kolo_zebate_napedowe","022P_09.00.00.000_Kolo_zebate_napedowe"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id6229",1,"031P_01.00.00.000_Zespol_pozycji_do_robota","031P_01.00.00.000_Zespol_pozycji_do_robota"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id12310",1,"022P_08.00.00.000_Kolo_zebate_bierne","022P_08.00.00.000_Kolo_zebate_bierne"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id13317",1,"Zespol_lozyskowy_UCFL_205","Zespol_lozyskowy_UCFL_205"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id13320",1,"022P_09.00.00.000_Kolo_zebate_napedowe","022P_09.00.00.000_Kolo_zebate_napedowe"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id13325",1,"022P_08.00.00.000_Kolo_zebate_bierne","022P_08.00.00.000_Kolo_zebate_bierne"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id13337",1,"022P_00.00.00.001_Wal","022P_00.00.00.001_Wal"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id13340",1,"022P_09.00.00.000_Kolo_zebate_napedowe","022P_09.00.00.000_Kolo_zebate_napedowe"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id13906",1,"Motoreduktor_CHM_50_7,5_80_B14_V6_CHT_80_D4_1.10_Kw_230-400V-50Hz_1_PC_DX","Motoreduktor_CHM_50_7,5_80_B14_V6_CHT_80_D4_1.10_Kw_230-400V-50Hz_1_PC_DX"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id13909",1,"022P_08.00.00.000_Kolo_zebate_bierne","022P_08.00.00.000_Kolo_zebate_bierne"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id13921",1,"022P_08.00.00.000_Kolo_zebate_bierne","022P_08.00.00.000_Kolo_zebate_bierne"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id13933",1,"022P_00.00.00.001_Wal","022P_00.00.00.001_Wal"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id13936",1,"Motoreduktor_CHM_50_7,5_80_B14_V6_CHT_80_D4_1.10_Kw_230-400V-50Hz_1_PC_DX","Motoreduktor_CHM_50_7,5_80_B14_V6_CHT_80_D4_1.10_Kw_230-400V-50Hz_1_PC_DX"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id13988",1,"022P_00.00.00.002_Wal","022P_00.00.00.002_Wal"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id13991",1,"022P_00.00.00.010_Prowadnica","022P_00.00.00.010_Prowadnica"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id13994",1,"022P_00.00.00.010_Prowadnica","022P_00.00.00.010_Prowadnica"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id13997",1,"022P_00.00.00.010_Prowadnica","022P_00.00.00.010_Prowadnica"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id14000",1,"022P_09.00.00.000_Kolo_zebate_napedowe","022P_09.00.00.000_Kolo_zebate_napedowe"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id14005",1,"Zespol_lozyskowy_UCFL_205","Zespol_lozyskowy_UCFL_205"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id14008",1,"022P_09.00.00.000_Kolo_zebate_napedowe","022P_09.00.00.000_Kolo_zebate_napedowe"
"031P","id5","031P_00.00.00.000_Przenosnik_pasowy_id5","id14013",1,"022P_09.00.00.000_Kolo_zebate_napedowe","022P_09.00.00.000_Kolo_zebate_napedowe"
