,machine,name,is_asm
0,036P,036P_02.02.00.001_Profil_80x80x4_5100,0
1,036P,036P_02.02.00.002_Ceownik_UPN100_530,0
2,036P,036P_02.02.01.001_Blacha_UCFL_207,0
3,036P,036P_02.02.01.002_Profil_50x50x3_420,0
4,036P,036P_01.01.01.005_Blacha_wew,0
5,036P,036P_01.01.01.003_Plaskownik_kola,0
6,036P,036P_02.02.00.004_Profil_60x60x4_400,0
7,036P,032P_01.01.00.011_Blacha_nogi,0
8,036P,036P_02.02.00.005_Profil_60x60x4_1180,0
9,036P,036P_02.02.00.003_Ceownik_UPN100_300,0
10,036P,036P_02.02.00.007_Ceownik_UPN65_200,0
11,036P,036P_02.02.00.006_Ceownik_UPN80_1140,0
12,036P,036P_02.02.00.009_Ceownik_UPN80_1140,0
13,036P,DIN_6331_M10_CZ_KL10,0
14,036P,036P_02.02.00.008_Profil_50x50x3_320,0
15,036P,036P_02.02.00.010_Katownik_125x29x4_58,0
16,036P,036P_02.02.00.011_Wspornik_CHM_50,0
17,036P,032P_01.03.00.001_ Blacha_8x150x50,0
18,036P,DIN_6331_M16_CZ_KL10,0
19,036P,032P_01.03.00.002_Pret_ M16x150_8.8,0
20,036P,DIN_985_M20_Zn_KL8,0
21,036P,DIN_125_M20_Zn_HV200,0
22,036P,DIN_125_M16_Zn_HV200,0
23,036P,12B-1RD_ogniwo_A,0
24,036P,12B-1RD_ogniwo_B,0
25,036P,DIN_933_M20x70_Zn_KL8.8,0
26,036P,DIN_934_M16_Zn_KL8,0
27,036P,DIN_934_M10_Zn_KL8,0
28,036P,DIN_9021_M10_Zn_HV200,0
29,036P,Zespol_lozyskowy_UCFL_207,0
30,036P,DIN_7984_M5x16_Zn_KL8.8,0
31,036P,Podkladka_Schnorr_S5_Zn,0
32,036P,036P_01.00.00.002_Sruba_M10_spec,0
33,036P,DIN_933_M10x30_Zn_KL8.8,0
34,036P,036P_01.00.00.005_Tulejka_16x10x13,0
35,036P,036P_02.00.00.001_Prowadnica_lancuchowa_12B-1_H15_DIN8187,0
36,036P,DIN_127_M10_Zn_HV200,0
37,036P,036P_01.00.00.003_Kolo_lancuchowe_z_piasta_12B-1_z22,0
38,036P,DIN_9021_M20_Zn_HV200,0
39,036P,036P_01.00.00.001_Kolo_gladkie_12B-1,0
40,036P,Tuleja_zaciskowa_BK13-35x60,0
41,036P,036P_03.00.00.001_Kostka_oprawy,0
42,036P,DIN_985_M12_Zn_KL8,0
43,036P,DIN_125_M12_Zn_HV200,0
44,036P,036P_03.00.00.002_Plaskownik,0
45,036P,DIN_931_M12x100_Zn_KL8.8,0
46,036P,036P_01.01.00.001_Blacha_UCFL_207,0
47,036P,036P_01.01.00.002M_Profil_50x50x3_600,0
48,036P,036P_01.01.00.004_Ceownik_55x35x5_55,0
49,036P,"036P_01.00.00.006_Tulejka_21,3x2,6x14",0
50,036P,DIN_931_M16x100_Zn_KL8.8,0
51,036P,DIN_985_M16_Zn_KL8,0
52,036P,036P_01.00.00.004_Prowadnica_lancuchowa_12B-1_H15_DIN8187,0
53,036P,DIN_7984_M5x20_Zn_KL8.8,0
54,036P,036P_01.01.00.002_Profil_50x50x3_600,0
55,036P,DIN_933_M10x90_Zn_KL8.8,0
56,036P,036P_04.00.00.001_Pret_35h11_1650,0
57,036P,036P_04.00.00.002_Plaskownik_ramienia,0
58,036P,036P_04.00.00.003_Plaskownik_silownika,0
59,036P,DIN_9021_M8_Zn_HV200,0
60,036P,683677 SBN-50_63---(R),0
61,036P,"9263 SGS-M16x1,5---(S_0_0_0)",0
62,036P,DIN-439-B - M16x1_5(F),0
63,036P,DIN_912_M8x25_Zn_KL8.8,0
64,036P,Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D,0
65,036P,DIN_125_M8_Zn_HV200,0
66,036P,DIN_985_M8_Zn_KL.8,0
67,036P,196005 DSNU-50-125-P---(A----0-ZR),0
68,036P,3773 M45x1_5,0
69,036P,196005 DSNU-50-125-P---(A---00--0-KS),0
71,036P,539926 SBN-50_63---(0LB),0
72,036P,DIN_127_M8_Zn_HV200,0
73,036P,DIN_934_M8_Zn_KL8,0
74,036P,DIN_933_M8x30_Zn_KL8.8,0
75,036P,Kolo_lancuchowe_z_piasta_SM_12B-2_z17_d25,0
76,036P,Motoreduktor_CHM_50_10_80_B14_V6_CHT_80_D4_1.10_Kw_230-400V-50Hz_1_CHT_MVS_SX_PC_DX,0
77,036P,Przegub_kulowy_GN_648.1-16-M16-N,0
78,036P,036P_06.00.00.001_Pret_M16_130_Zn_KL8.8,0
79,036P,036P_00.00.00.002_Kolo_lancuchowe_z_piasta_12B-2_z17,0
80,036P,036P_05.00.00.001_Pret_35h11_1960,0
81,036P,036P_00.00.00.001_Wal_napedowy,0
82,036P,12B-2_ogniwo_A,0
83,036P,12B-2_ogniwo_B,0
84,036P,02528235_HUB_GE-T 28-38_SG__d1=35,0
85,036P,02528104_Wkladka_RED_GE-T 28-38_SG,0
86,036P,DIN_912_M8x30_Zn_KL8.8,0
87,036P,Zaslepka_80x80_wew_RAL9005,0
88,036P,036P_00.00.00.000_Przenosnik_lancuchowy,1
89,036P,036P_02.00.00.000_Modul_lancuchowy_staly,1
90,036P,036P_02.01.00.000_Rama_modulu,1
91,036P,036P_02.02.01.000_Profil_transportera,1
92,036P,032P_01.03.00.000_Stopka_M16x150,1
93,036P,036P_02.02.00.00_Lancuch_12B-1RDx80_1524,1
