,is_asm,mach_name,asm_name,par_name,par_per_asm
0,1,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,034P_01.00.00.000_Rama_A,1
1,1,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,034P_02.00.00.000_Rama_B,1
2,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M16_Zn_HV200,1
3,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_934_M16_Zn_KL8,1
4,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_934_M16_Zn_KL8,1
5,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M16_Zn_HV200,1
6,1,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,034P_03.01.00.000S_Slizg,1
7,1,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,034P_05.05.00.000S_Banda_5,1
8,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M16_Zn_HV200,1
9,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M16_Zn_HV200,1
10,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M16_Zn_HV200,1
11,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
12,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M16_Zn_HV200,1
13,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M16_Zn_HV200,1
14,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M16_Zn_HV200,1
15,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
16,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
17,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
18,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
19,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
20,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
21,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
22,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
23,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
24,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
25,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
26,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
27,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
28,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
29,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
30,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
31,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
32,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
33,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
34,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
35,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
36,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
37,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
38,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
39,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
40,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,1
41,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_934_M16_Zn_KL8,1
42,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_934_M16_Zn_KL8,1
43,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_934_M16_Zn_KL8,1
44,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_934_M16_Zn_KL8,1
45,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_934_M16_Zn_KL8,1
46,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_934_M16_Zn_KL8,1
47,1,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,034P_05.05.00.000S_Banda_5,1
48,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_7991_M8x35_Zn_KL8.8,1
49,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M16_Zn_HV200,1
50,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M16_Zn_HV200,1
51,0,034P_00.00.00.000_Przenosnik_rolkowy,034P_00.00.00.000_Przenosnik_rolkowy,DIN_125_M16_Zn_HV200,1
