,name,id,ref,ref_name,ref_type,asm
0,034P_00.00.00.000_Przenosnik_rolkowy,id4,thisAsm,034P_00.00.00.000_Przenosnik_rolkowy,assembly,id11 id512 id1102 id1149 id1152 id1155 id1161 id1320 id1510 id1513 id1516 id1771 id1774 id1777 id1780 id1783 id1786 id1789 id1792 id1795 id1798 id1801 id1804 id1807 id1810 id1813 id1816 id1819 id1822 id1825 id1828 id1831 id1834 id1837 id1840 id1843 id1846 id1849 id1852 id1855 id1858 id1861 id1864 id1867 id1870 id1873 id1876 id1879 id1948 id1951 id1954 id1957 id1960 id1963 id1966 id1969 id1972 id1975 id1978 id1981 id1984 id1987 id1990 id1993 id1996 id1999 id2002 id2005 id2008 id2011 id2014 id2017 id2020 id2023 id2026 id2029 id2032 id2035 id2038 id2041 id2044 id2050 id2196 id2228 id2231 id2281 id2284 id2292 id2343 id2346 id2354 id2357 id2368 id2482 id2490 id2498 id2506 id2514 id2522 id2530 id2538 id2575 id2578 id2581 id2617 id2620 id2670 id2720 id2726 id2785 id2788 id2791 id2794 id2797 id2800 id2803 id2806 id2809 id2812 id2815 id2818 id2821 id2824 id2827 id2830 id2833 id2836 id2839 id2842 id2845 id2848 id2851 id2854 id2857 id2860 id2863 id2866 id2869 id2872 id2875 id2878 id2881 id2884 id2887 id2890 id2893 id2896 id2899 id2902 id2905 id2908 id2911 id2914 id2917 id2920 id2923 id2926 id2929 id2932 id2935 id2938 id2941 id2944 id2947 id2950 id2953 id2956 id2959 id2962 id2965 id2968 id2971 id2974 id2977 id2980 id2983 id2986 id2989 id2992 id2995 id2998 id3001 id3004 id3007 id3010 id3013 id3016 id3019 id3022 id3025 id3028 id3031 id3034 id3037 id3040 id3043 id3046 id3049 id3052 id3055 id3058 id3061 id3064 id3067 id3070 id3073 id3076 id3079 id3082 id3085 id3088 id3091 id3094 id3097 id3100 id3103 id3106 id3109 id3112 id3115 id3118 id3121 id3124 id3127 id3130 id3133 id3136 id3139 id3142 id3145 id3148 id3151 id3154 id3157 id3160 id3163 id3166 id3169 id3172 id3175 id3178 id3181 id3184 id3187 id3190 id3193 id3196 id3199 id3202 id3205 id3208 id3211 id3214 id3217 id3220 id3223 id3226 id3229 id3232 id3235 id3238 id3241 id3244 id3247 id3250 id3253 id3256 id3259 id3262 id3265 id3268 id3271 id3274 id3277 id3292 id3295 id3310 id3313 id3316 id3319 id3334 id3337 id3352 id3355 id3358 id3999 id4002 id4005 id4060 id4063 id4066 id4069 id4072 id4075 id4078 id4081 id4150 id4153 id4156 id4159 id4162 id4165 id4168 id4171 id4174 id4177 id4180 id4183 id4186 id4215 id4304 id4307 id4310 id4313 id4316 id4319 id4325 id4552 id4555 id4561 id4784 id4790 id4875 id4878 id4881 id4884 id5027 id5030 id5033 id5036 id5042 id5141 id5144 id5147 id5150 id5153 id5156 id5206 id5212 id5380 id5383 id5386 id5389 id5392 id5395 id5398 id5401 id5404 id5407 id5410 id5413 id5416 id5419 id5422 id5425 id5428 id5431 id5434 id5437 id5440 id5443 id5446 id5449 id5452 id5455 id5458 id5461 id5464 id5467 id5470 id5473 id5476 id5479 id5482 id5485 id5488 id5491 id5494 id5497 id5500 id5503 id5506 id5509 id5512 id5515 id5518 id5521 id5524 id5527 id5530 id5533 id5536 id5539 id5542 id5545 id5548 id5551 id5554 id5557 id5560 id5563 id5566 id5569 id5572 id5575 id5578 id5581 id5584 id5587 id5590 id5593 id5596 id5599 id5602 id5605 id5608 id5611 id5614 id5617 id5620 id5623 id5626 id5676 id5679 id5682 id5685 id5688 id5691 id5694 id5697 id5700 id5703 id5706 id5709 id5712 id5715 id5718 id5721 id5724 id5727 id5730 id5733 id5736 id5739 id5742 id5745 id5748 id5751 id5754 id5757 id5760 id5763 id5766 id5769 id5772 id5775 id5778 id5781 id5784 id5787 id5790 id5793 id5796 id5799 id5802 id5805 id5808 id5811 id5814 id5817 id5820 id5823 id5826 id5829 id5832 id5835 id5838 id5841 id5844 id5847 id5850 id5853 id5856 id5859 id5862 id5865 id5868 id5871 id5874 id5877 id5880 id5883 id5886 id5889 id5892 id5895 id5898 id5901 id5904 id5907 id5910 id5913 id5916 id5919 id5922 id5925 id5928 id5960 id5963 id5999 id6050 id6056 id6383 id6386 id6389 id6392 id6395 id6398 id6401 id6404 id6407 id6410 id6413 id6416 id6419 id6422 id6425 id6428 id6431 id6434 id6437 id6440 id6443 id6446 id6449 id6452 id6455 id6458 id6461 id6464 id6467 id6470 id6473 id6476 id6482 id6581 id6584 id6599 id6646 id6654 id6669 id6677 id6685 id6693 id6701 id6712 id6890 id6893 id6896 id6899 id6902 id6905 id6908 id6911 id6914 id6917 id6920 id6923 id6926 id6929 id6932 id6935 id6938 id6941 id6944 id6947 id6950 id6953 id6956 id6959 id6962 id6965 id6968 id6971 id6974 id6977 id6980 id6983 id6986 id6989 id6992 id6995 id6998 id7001 id7004 id7007 id7010 id7013 id7016 id7019 id7022 id7025 id7028 id7031 id7034 id7037 id7040 id7043 id7046 id7049 id7052 id7055 id7058 id7061 id7064 id7067 id7070 id7073 id7076 id7079 id7082 id7085 id7088 id7091 id7094 id7097 id7100 id7103 id7106 id7109 id7112 id7115 id7118 id7121 id7124 id7127 id7130 id7133 id7136 id7139 id7142 id7145 id7148 id7151 id7154 id7157 id7160 id7163 id7166 id7169 id7172 id7175 id7178 id7181 id7184 id7187 id7190 id7193 id7196 id7199 id7202 id7205 id7208 id7211 id7214 id7217 id7220 id7223 id7226 id7229 id7232 id7235 id7285 id7288 id7291 id7294 id7297 id7300 id7303 id7306 id7309 id7312 id7315 id7318 id7321 id7324 id7327 id7330 id7333 id7336 id7339 id7342 id7345 id7348 id7351 id7354 id7357 id7360 id7363 id7366 id7369 id7372 id7375 id7378 id7381 id7384 id7387 id7390 id7393 id7396 id7399 id7402 id7405 id7408 id7411 id7414 id7417 id7420 id7423 id7426 id7429 id7432 id7435 id7438 id7441 id7444 id7447 id7450 id7453 id7456 id7459 id7462 id7465 id7468 id7471 id7474 id7477 id7524 id7571 id7618 id7665 id7712 id7759 id7806 id7853 id7900 id7947 id7994 id8041 id8088 id8135 id8182 id8229 id8276 id8323 id8370 id8417 id8464 id8511 id8558 id8605 id8608 id8611 id8614 id8617 id8620 id8623 id8626
1,034P_01.00.00.000_Rama_A.asm:1,id11,id8,034P_01.00.00.000_Rama_A,assembly,id149 id176 id350 id354 id358 id362 id366 id370 id402 id438 id442 id446 id473 id477 id481 id485 id489 id493 id497 id501 id505
2,034P_01.00.00.004_Ceownik_UPN100_3380.par:1,id149,id14,x,x,x
3,034P_01.00.00.002_Ceownik_UPN100_100.par:1,id176,id153,x,x,x
4,034P_01.00.00.001_Ceownik_UPN100_3380.par:2,id350,id180,x,x,x
5,034P_01.00.00.002_Ceownik_UPN100_100.par:2,id354,id153,x,x,x
6,034P_01.00.00.002_Ceownik_UPN100_100.par:3,id358,id153,x,x,x
7,034P_01.00.00.002_Ceownik_UPN100_100.par:4,id362,id153,x,x,x
8,034P_01.00.00.002_Ceownik_UPN100_100.par:5,id366,id153,x,x,x
9,034P_01.00.00.002_Ceownik_UPN100_100.par:6,id370,id153,x,x,x
